Niger,115464,145999,122260,124509,126482,252998,348056,449236
Nigeria,456621,462999,487882,969714,990494,1199115,1308568,1403281
Niue,461,480,498,522,589,588,588,588
North Korea,34103,35143,36183,40097,44010,48458,49549,50439
North Macedonia,95142,109343,125665,127667,129701,130730,131311,150902
Northern Africa (UN),2374205,2075487,1895038,1753656,1965200,2284569,3226461,4874040
Northern Africa and Western Asia (UN),16863681,18573252,20033534,23016410,32028416,44083778,48992329,54085710
Northern America (UN),27543267,33404578,40357995,45658615,51007867,56019067,58830556,61207877
Northern Europe (UN),6656282,7237021,7963939,9668148,11953254,13955273,16246850,18543047
Northern Mariana Islands,26593,32376,40122,37542,24168,21648,21843,22000
Norway,192587,233302,292440,361144,524601,746375,852238,1012404
Oman,526784,538639,550760,608416,803387,1827972,1766142,2283366
Pakistan,6208204,3669308,4181912,3174558,3943681,3506520,3276580,4175958
Palau,2801,4749,6310,6043,5490,4937,5088,5212
Palestine,288332,281767,275202,274520,273840,273163,272784,272481
Panama,62744,70848,83410,109461,157788,184710,313165,477749
Papua New Guinea,33710,33526,26304,29971,30425,30940,31068,31171
Paraguay,195884,186570,176608,168243,160299,156462,169567,180837
Peru,48985,56831,66103,77195,102662,152562,1184762,1837219
Philippines,134600,145980,157361,168741,178147,131897,87212,87212
Poland,1127393,963028,822627,724887,649114,683663,738099,1739901
Polynesia,58509,65065,71151,73768,72741,70001,70136,70292
Portugal,435782,532822,651472,771184,762825,864814,1001963,1127184
Puerto Rico,321909,338067,355038,352144,304969,280494,247132,223323
Qatar,215508,307661,439215,643000,1409000,2090000,2182000,2337000
Reunion,57210,77159,100678,115076,123029,127209,131769,135534
Romania,135745,134970,134204,139430,148107,212560,338734,655579
Russia,11524948,11928927,11900297,11667588,11199727,9098229,7297611,7605774
Rwanda,160024,215735,347076,423187,426901,514647,513907,513316
Saint Helena,178,117,108,163,248,377,437,492
Saint Kitts and Nevis,3210,4248,5871,6682,7245,7443,7725,7958
Saint Lucia,5305,7155,9871,9839,9050,8673,8338,8079
Saint Pierre and Miquelon,1099,1320,1458,1147,1017,986,998,1008
Saint Vincent and the Grenadines,3970,4135,4307,4436,4569,4637,4738,4820
Samoa,3357,4694,5998,5746,5122,4255,4021,3843
San Marino,3310,3659,4045,4218,4880,5195,5543,5838
Sao Tome and Principe,5582,4936,4365,3433,2700,2394,2139,1955
Saudi Arabia,4484868,4853489,5219382,6605114,8976961,13251622,13071258,13683841
Senegal,270410,287654,231901,238298,256092,266496,274929,281867
Serbia,1064614,1543744,1419951,1078633,901044,797595,733091,712550
Seychelles,3721,5148,6574,8997,11420,12791,13050,13261
Sierra Leone,222148,98516,97974,146227,79265,58830,53746,49997
Singapore,729377,993616,1319433,1494527,2160350,2535340,2589107,2841665
Sint Maarten (Dutch part),23861,23861,23861,13099,26203,27295,28845,30148
Slovakia,41295,69323,116376,130491,146319,177624,197161,323991
Slovenia,178077,174419,214508,217218,253786,237616,277964,315122
Small Island Developing States (SIDS),2208579,2621962,3082560,3341149,4039607,4603415,4807366,5308114
Solomon Islands,4226,4178,3981,3271,2760,2585,2520,2469
Somalia,478294,19527,20097,20768,48106,40990,58590,77972
South Africa,1285707,1006597,997703,1513855,2274466,3162564,2639076,2631100
South Korea,18499,52719,144426,231744,566098,1312172,1723389,1811507
South Sudan,652365,652365,652365,652365,230732,844112,882252,914001
South-Eastern Asia (UN),2637040,3250697,4608647,6040145,8567047,9631549,10242239,11029593
Southern Africa (UN),1517089,1204498,1248435,1745545,2512206,3408739,2903653,2911844
Southern Asia (UN),19155930,15227642,14930955,13636926,14439064,13914922,13914646,16459536
Southern Europe (UN),5472616,7250345,8585552,11897749,15213351,15507903,17716268,20119984
Spain,813588,1258176,2023886,4372449,6281193,5892847,7146130,8870527
Sri Lanka,41561,40841,40132,39526,38959,39706,40254,40698
Sub-Saharan Africa (UN),13802710,14578211,13518102,14849146,15787016,20399360,22040895,24306400
Sudan,1402896,1053396,805086,546419,618709,620523,1379147,2397113
Suriname,18083,22320,27506,33662,39713,43127,47801,51902
Sweden,784283,944802,1022156,1126971,1372074,1638195,2033902,2272158
Switzerland,1252320,1363586,1484514,1740312,2053953,2385713,2610189,2773840
Syria,714140,830610,834916,882398,1783595,835716,868711,896042
Taiwan,66378,246682,450366,548367,587646,866324,1055191,1136425
Tajikistan,428900,348347,299499,280466,279808,275101,276031,276777
Tanzania,574025,1106043,949600,771153,309847,384567,426017,462371
Thailand,287933,271568,771234,1705845,2640454,2853248,3015007,3179399
Togo,84844,101583,137968,204219,255564,277384,279936,281994
Tokelau,360,506,712,1003,1128,1185,1238,1282
Tonga,2911,3274,3684,4301,4607,3954,3742,3581
Trinidad and Tobago,50666,45994,41753,44812,48226,50021,78849,113478
Tunisia,37984,37867,36719,35040,43172,56532,60145,63201
Turkey,1159415,1220898,1279019,1345188,1420433,3750982,6580295,7083501
Turkmenistan,306500,273565,219067,213053,197979,196376,194920,193763
Turks and Caicos Islands,5062,7039,9015,13115,17216,22723,25748,28455
Tuvalu,318,263,218,209,220,230,239,246
Uganda,560570,666211,624296,637596,515055,823181,1776038,2057759
Ukraine,6892920,6172338,5527087,5050302,4818767,4915142,4997387,5064173
United Arab Emirates,1302298,1795514,2373577,3218730,5446000,6859000,7184000,8157000
United Kingdom,3664896,4173053,4747902,5989992,7713303,9071431,10520870,11845479
United States,23266147,28525723,34806848,39545828,43947211,47942986,50471028,52375047
United States Virgin Islands,51970,54241,56611,56647,56684,56721,56753,56779
Upper-middle-income countries,30377288,27647384,26692150,27939005,31296931,36590222,43913443,49439824
Uruguay,98116,93428,88874,82317,76303,78799,108267,160064
Uzbekistan,1653000,1512577,1406498,1329932,1220149,1170873,1162007,1154963
Vanuatu,2308,2461,2626,2800,2991,3186,3257,3315
Vatican,726,705,691,659,621,572,528,496
Venezuela,1025009,1019996,1013738,1076474,1347347,1404448,1324193,1263304
Vietnam,88560,88376,86213,81997,84408,101386,200639,326418
Wallis and Futuna,1402,1704,2015,2191,2111,2050,2040,2032
Western Africa (UN),4476686,5350182,5254826,6000026,6413896,7206050,7747495,8236829
Western Asia (UN),14489476,16497765,18138496,21262754,30063216,41799209,45765868,49211670
Western Europe (UN),17019914,20263560,21781702,24134692,25952723,28688766,32846290,36742379
Western Sahara,2688,2989,3289,3891,4493,5179,5424,5628
Yemen,118863,136515,144940,171871,288394,379882,387113,392997
Zambia,279463,244338,343703,252895,149962,132107,187955,249205
Zimbabwe,634621,431226,410109,402226,398307,400482,416141,429108
